,year,tier,ad_name,ad_revenue_x,ad_revenue_y,sow,connection
70,2018,1,Rewarded Video,7313.13,21932.119999999995,0.3334438257678693,Admob
71,2018,1,Rewarded Video,10732.76,21932.119999999995,0.48936263343443326,Facebook
72,2018,1,Rewarded Video,854.2799999999999,21932.119999999995,0.03895109091141212,Marketplace
73,2018,1,Rewarded Video,3031.9499999999985,21932.119999999995,0.13824244988628545,Other
74,2018,2,Banner,44055.70999999994,71093.74999999994,0.6196847120879118,Admob
75,2018,2,Banner,241.93,71093.74999999994,0.0034029714285714312,Facebook
76,2018,2,Banner,13139.749999999996,71093.74999999994,0.18482285714285723,Marketplace
77,2018,2,Banner,169.11,71093.74999999994,0.002378690109890112,Other
78,2018,2,Banner,13487.250000000004,71093.74999999994,0.18971076923076943,inMobi
79,2018,2,Interstitial,43182.42000000011,109178.9000000001,0.39551983029688037,Admob
80,2018,2,Interstitial,3060.3699999999985,109178.9000000001,0.028030782504678064,Facebook
81,2018,2,Interstitial,21867.989999999987,109178.9000000001,0.20029502037481572,Marketplace
82,2018,2,Interstitial,41040.73000000001,109178.9000000001,0.37590349417332447,Ogury
83,2018,2,Interstitial,27.389999999999997,109178.9000000001,0.0002508726503014774,inMobi
84,2018,2,MREC,2697.0199999999995,3176.8899999999994,0.8489497590410747,Admob
85,2018,2,MREC,464.9400000000001,3176.8899999999994,0.14635067629033433,Marketplace
86,2018,2,MREC,14.930000000000001,3176.8899999999994,0.004699564668590982,inMobi
87,2018,2,Native,64240.21999999989,85240.75999999988,0.7536326517970978,Admob
88,2018,2,Native,2317.1499999999987,85240.75999999988,0.027183591511854212,Facebook
89,2018,2,Native,18683.38999999998,85240.75999999988,0.2191837566910479,Marketplace
90,2018,2,Rewarded Video,2325.199999999999,3092.549999999999,0.751871432959855,Admob
91,2018,2,Rewarded Video,183.93,3092.549999999999,0.05947519037687348,Facebook
92,2018,2,Rewarded Video,116.02999999999999,3092.549999999999,0.03751919936621883,Marketplace
93,2018,2,Rewarded Video,467.38999999999993,3092.549999999999,0.15113417729705264,Other
94,2018,3,Banner,59347.34000000008,126630.57000000007,0.4686651888244683,Admob
95,2018,3,Banner,1007.2500000000002,126630.57000000007,0.00795424043341193,Facebook
96,2018,3,Banner,48202.53999999998,126630.57000000007,0.3806548450346544,Marketplace
97,2018,3,Banner,5999.899999999999,126630.57000000007,0.04738113395525263,Other
98,2018,3,Banner,12073.540000000005,126630.57000000007,0.09534459175221274,inMobi
99,2018,3,Interstitial,49649.879999999954,232647.26000000024,0.21341270041177318,Admob
100,2018,3,Interstitial,13403.28000000001,232647.26000000024,0.05761202603460705,Facebook
101,2018,3,Interstitial,152611.82000000027,232647.26000000024,0.6559794428698628,Marketplace
102,2018,3,Interstitial,11234.110000000002,232647.26000000024,0.04828816810479518,Ogury
103,2018,3,Interstitial,860.9399999999999,232647.26000000024,0.0037006238543277883,Other
104,2018,3,Interstitial,4887.230000000005,232647.26000000024,0.02100703872463402,inMobi
105,2018,3,MREC,2800.0799999999977,4640.519999999999,0.603397895063484,Admob
106,2018,3,MREC,1791.650000000001,4640.519999999999,0.3860881970124041,Marketplace
107,2018,3,MREC,48.79,4640.519999999999,0.010513907924111957,inMobi
108,2018,3,Native,62193.02000000006,177469.1400000004,0.35044413918949474,Admob
109,2018,3,Native,10991.090000000057,177469.1400000004,0.06193240131777295,Facebook
110,2018,3,Native,55738.04000000025,177469.1400000004,0.3140717310063041,Marketplace
111,2018,3,Native,48546.99000000003,177469.1400000004,0.2735517284864282,Other
112,2018,3,Rewarded Video,6628.660000000004,7697.270000000003,0.8611702590658769,Admob
113,2018,3,Rewarded Video,236.97,7697.270000000003,0.03078623979670713,Facebook
114,2018,3,Rewarded Video,74.65000000000003,7697.270000000003,0.00969824366301299,Marketplace
115,2018,3,Rewarded Video,756.9899999999991,7697.270000000003,0.0983452574744031,Other
